325	280	4.0
84	647	5.0
815	39	3.0
138	403	4.0
906	186	4.0
924	490	5.0
894	342	5.0
35	1085	1.0
188	1084	4.0
379	99	3.0
110	297	4.0
93	1054	4.0
447	470	2.0
759	196	4.0
33	50	4.0
442	597	4.0
238	49	4.0
618	269	5.0
752	1182	3.0
532	577	4.0
534	271	3.0
19	232	4.0
644	321	5.0
868	499	3.0
39	112	4.0
674	607	2.0
396	254	4.0
18	232	4.0
450	509	4.0
546	325	5.0
5	84	4.0
535	1210	5.0
280	166	4.0
598	82	3.0
873	895	4.0
79	95	3.0
917	288	3.0
893	490	1.0
75	665	1.0
611	240	5.0
622	431	4.0
646	1432	3.0
611	561	5.0
661	568	4.0
357	104	4.0
67	1348	3.0
172	284	4.0
769	1044	1.0
65	204	4.0
518	452	3.0
358	94	5.0
340	479	4.0
153	479	5.0
650	431	3.0
529	839	3.0
799	280	4.0
97	257	5.0
827	734	3.0
793	150	4.0
894	374	2.0
365	112	4.0
85	114	3.0
290	280	2.0
7	482	5.0
394	783	3.0
532	345	4.0
715	814	1.0
871	651	4.0
523	345	5.0
120	350	2.0
133	1116	3.0
340	100	4.0
11	167	3.0
121	1419	3.0
190	12	4.0
584	209	5.0
37	869	1.0
10	1034	1.0
883	338	2.0
832	274	2.0
603	884	5.0
47	31	5.0
117	369	2.0
596	474	4.0
678	960	3.0
720	783	3.0
605	320	3.0
108	110	3.0
498	380	5.0
384	599	4.0
815	141	5.0
731	30	4.0
421	116	3.0
582	599	4.0
54	151	4.0
491	317	3.0
87	201	3.0
787	156	4.0
789	571	4.0
38	698	3.0
15	1021	1.0
533	280	3.0
888	1040	4.0
746	1229	2.0
778	1126	2.0
927	784	4.0
586	189	4.0
139	220	5.0
442	423	4.0
10	92	3.0
93	89	5.0
528	492	3.0
928	201	2.0
867	142	2.0
454	267	4.0
47	48	3.0
393	730	5.0
339	895	2.0
252	1229	3.0
8	170	5.0
782	181	3.0
384	1151	3.0
534	232	3.0
473	289	4.0
747	307	5.0
467	687	5.0
55	735	4.0
405	159	3.0
394	573	3.0
339	827	4.0
442	447	5.0
202	95	5.0
750	706	2.0
111	417	3.0
457	86	2.0
33	161	4.0
448	450	2.0
657	1039	4.0
620	77	4.0
790	424	4.0
70	144	3.0
129	188	5.0
313	52	4.0
696	166	3.0
110	27	3.0
880	482	4.0
103	136	3.0
814	389	5.0
97	68	5.0
45	175	3.0
687	144	4.0
917	323	3.0
5	96	5.0
417	404	4.0
797	253	4.0
507	40	4.0
711	547	2.0
775	95	3.0
752	355	5.0
238	350	4.0
703	46	4.0
736	333	3.0
82	95	1.0
129	404	4.0
33	288	5.0
703	366	4.0
713	182	5.0
118	339	1.0
133	751	4.0
407	60	3.0
233	613	5.0
402	602	3.0
899	565	2.0
458	58	5.0
550	49	5.0
335	884	5.0
861	899	2.0
900	98	3.0
649	307	5.0
348	1120	4.0
650	106	2.0
146	141	4.0
493	513	3.0
715	1023	2.0
91	64	4.0
58	372	3.0
896	471	5.0
350	1120	4.0
191	1107	5.0
897	977	4.0
750	288	3.0
696	1184	5.0
339	500	2.0
384	734	4.0
401	189	4.0
70	547	3.0
618	373	3.0
353	97	4.0
19	433	3.0
37	499	4.0
925	172	2.0
76	153	1.0
650	211	3.0
14	740	4.0
752	573	4.0
396	275	3.0
501	750	4.0
68	197	1.0
43	96	4.0
90	1092	3.0
165	960	3.0
102	8	4.0
385	356	5.0
194	227	3.0
404	137	4.0
654	13	2.0
71	91	5.0
723	223	3.0
617	882	3.0
650	1317	3.0
633	282	4.0
168	268	3.0
519	152	3.0
877	103	5.0
717	1115	3.0
915	379	4.0
101	203	3.0
491	163	3.0
802	433	2.0
409	469	4.0
467	68	5.0
358	211	3.0
713	566	4.0
367	44	2.0
674	953	3.0
579	629	3.0
60	22	4.0
536	135	5.0
743	175	4.0
192	965	2.0
41	741	4.0
875	287	3.0
197	1167	4.0
859	497	5.0
340	302	3.0
671	614	5.0
560	242	5.0
276	175	2.0
657	637	3.0
27	514	3.0
100	174	4.0
478	921	4.0
715	403	2.0
226	394	5.0
907	849	2.0
353	32	3.0
52	17	1.0
825	66	4.0
907	408	4.0
182	201	4.0
599	242	5.0
264	310	3.0
318	216	5.0
377	411	4.0
778	1608	2.0
552	594	4.0
621	89	5.0
394	647	3.0
6	229	4.0
173	751	4.0
15	81	4.0
169	533	4.0
654	103	5.0
748	531	2.0
107	83	3.0
1	559	3.0
48	173	2.0
192	382	2.0
649	719	4.0
49	1269	4.0
374	62	4.0
142	420	2.0
334	1225	3.0
517	153	4.0
428	197	3.0
350	200	5.0
498	294	1.0
412	200	4.0
85	661	5.0
86	178	4.0
790	659	2.0
831	33	4.0
646	179	3.0
518	298	2.0
650	1230	2.0
759	350	3.0
617	695	4.0
409	179	4.0
364	613	4.0
602	181	3.0
80	677	4.0
343	529	1.0
311	546	4.0
183	112	4.0
90	232	4.0
226	70	4.0
517	103	4.0
504	157	4.0
180	814	2.0
80	31	5.0
594	600	5.0
622	273	5.0
118	146	1.0
582	410	5.0
556	438	1.0
932	221	4.0
393	139	4.0
579	656	2.0
931	586	2.0
62	443	3.0
143	523	1.0
559	360	4.0
91	751	4.0
711	465	5.0
477	89	3.0
353	16	1.0
939	681	3.0
100	293	2.0
402	172	1.0
668	357	5.0
703	438	3.0
312	435	4.0
295	541	4.0
85	100	4.0
433	403	4.0
160	731	3.0
25	434	5.0
810	344	5.0
285	49	5.0
91	345	3.0
11	13	4.0
35	1549	1.0
404	259	3.0
116	20	4.0
127	978	2.0
339	733	4.0
884	357	3.0
841	291	3.0
650	722	3.0
75	1014	1.0
930	695	3.0
98	12	4.0
99	864	4.0
139	191	5.0
815	148	2.0
772	734	5.0
6	6	2.0
442	828	4.0
402	796	1.0
742	919	3.0
378	216	5.0
867	106	3.0
778	1576	3.0
548	118	4.0
145	1194	3.0
210	899	2.0
766	189	5.0
390	208	5.0
3	754	3.0
576	96	3.0
904	407	4.0
409	52	5.0
421	396	3.0
14	452	3.0
650	16	3.0
362	229	4.0
790	773	4.0
782	629	4.0
133	331	3.0
637	82	3.0
116	492	4.0
896	329	2.0
398	175	4.0
56	147	4.0
11	532	4.0
5	31	4.0
175	415	2.0
358	568	5.0
239	8	5.0
790	114	5.0
530	112	4.0
75	684	4.0
162	590	3.0
493	172	2.0
49	336	3.0
147	816	2.0
516	722	2.0
218	460	4.0
331	652	5.0
883	24	4.0
832	98	3.0
871	809	4.0
875	242	4.0
71	355	5.0
630	89	3.0
920	120	4.0
930	365	4.0
325	204	4.0
65	323	4.0
12	911	3.0
933	361	4.0
378	661	3.0
511	817	4.0
83	695	3.0
748	201	3.0
9	404	2.0
478	157	5.0
38	485	3.0
649	1019	1.0
205	182	3.0
784	1054	3.0
341	63	2.0
209	222	5.0
399	244	5.0
249	201	4.0
605	3	5.0
58	793	1.0
556	581	4.0
724	554	5.0
831	401	4.0
21	170	1.0
669	144	1.0
369	296	4.0
179	247	3.0
790	271	3.0
390	778	3.0
14	257	3.0
752	418	5.0
758	722	4.0
311	357	3.0
409	718	4.0
694	858	3.0
28	140	4.0
546	623	4.0
191	216	5.0
842	23	2.0
478	403	3.0
892	596	4.0
288	43	4.0
110	665	4.0
348	342	2.0
19	317	2.0
913	1348	4.0
617	217	5.0
141	209	4.0
333	556	3.0
650	563	3.0
387	849	3.0
